title,text,subject,date
"Did RSS chief Mohan Bhagwat say PM Modi works 15-16 hours a day?

Read more at: https://www.oneindia.com/fact-check/fact-check-did-rss-chief-mohan-bhagwat-say-pm-modi-works-for-15-16-hours-3409362.html?ref_medium=Desktop&ref_source=OI-EN&ref_campaign=Topic-Article&story=2
","A screenshot on social media claiming that RSS chief Mohan Bhagwat of praising Narendra Modi for working 15-16 hours a day is doing rounds on social media sites. The post hailed the Prime Minister, saying that Modi works 15-16 hours a day even at the age of 67. However, it has turned out to be a fake Tweet.

Read more at: https://www.oneindia.com/fact-check/fact-check-did-rss-chief-mohan-bhagwat-say-pm-modi-works-for-15-16-hours-3409362.html?ref_medium=Desktop&ref_source=OI-EN&ref_campaign=Topic-Article&story=2
",news ,13-11-2018
Misinformation Is Endangering India’s Election,"For instance, after February’s Kashmir attack, a promoted post on the app suggested that Pakistan’s prime minister, Imran Khan, was crying on television after receiving a warning from  the “56-inch,” a reference to a boast of Modi’s regarding the size of his chest, an apparent effort to show his strength. The claim about Khan, however, was wrong; he had not cried. This wasn’t a one-off case, either. The app’s news feed promotes posts from repeat fake-news offenders, and users aren’t given the option to unfollow these accounts.  The BJP’s IT department has previously said it is aware of the problem. Malviya has previously admitted to us that there is “some scope for misinformation” on the app, adding that “content moderation is managed by volunteers” and “multiple posts have been taken down.” Still, the party’s ground staff has been tasked with increasing the NaMo app’s use, Mishra said. “Even if five people at every booth install the NaMo app,” he told us, “Modi will be PM for the next 25 years.”",news ,03-07-2018
Protesters in Lucknow chanted ‘Pakistan Zindabad’,"On December 28, Malviya tweeted a video of protestors opposing the Citizenship Amendment Act protest at Lucknow’s Clock Tower, claiming that they chanted “Pakistan Zindabad” or long live Pakistan.",news ,18-07-2018
Attempts to portray Nehru as immoral,"In November 2017, the BJP leader shared a collage of images of first Indian prime minister Jawaharlal Nehru in the company of several women. Most of the photographs were of Nehru’s with his sister or niece or of world figures such as Jacqueline Kennedy. Malviya later deleted his tweet but this hardly stopped others from sharing the collage.",news ,14-05-2018
Clipped video of Manmohan Singh,"On November 27, 2018, Malviya tweeted a video of Manmohan Singh in which the former prime minister can be heard saying, “The governments of Madhya Pradesh and Chhattisgarh were very good.” This clip seemed to suggest that Singh was expressing appreciation for the state governments run by the BJP.",news ,30-04-2018
Rahul Gandhi signed Somnath temple register as a non-Hindu,"In November 2017, Malviya claimed that Rahul Gandhi, who was Congress president at the time, had signed the register at Gujarat’s Somnath temple as a “non-Hindu”.",news ,29-01-2018
The potato-gold machine claim,"The same month, Malviya tweeted a video of Rahul Gandhi saying, “??? ???? ??????? ?? ???? ?? ??? ?????? ?? ???? ?? ???? ??????? …” Will install such a machine that if a potato is inserted from one end, gold will come out from the other end.",news ,14-06-2018
Rahul Gandhi visited Gurmeet Ram Rahim’s Dera Sacha Sauda,"In August 2017, Malviya claimed, “Rahul Gandhi visited Dera Sacha Sauda as recently as Jan 2017 to seek support.. Congress rules Punjab. What quid pro quo did they promise?”",news ,31-08-2018
Rahul Gandhi visited Gurmeet Ram Rahim’s Dera Sacha Sauda,"In August 2017, Malviya claimed, “Rahul Gandhi visited Dera Sacha Sauda as recently as Jan 2017 to seek support.. Congress rules Punjab. What quid pro quo did they promise?”",news ,27-03-2018
Fake News and India’s Democracy ,"at the end of 2017, Prime Minister Narendra Modi allegedly urged members of his ruling party not to be swayed by disinformation campaigns started by the opposition Congress.",news ,29-11-2018
The india Eye' - The fake news factory promoted by NAMO App ,"In the aftermath of the oppotsition's Mahagathbandhan rally , this account attempted to portray Delhi Chief minister Arvind Kejriwal as more concerned about Pakisthan than about India.""Pakisthan will suffer if Modi comes into power"" - this quote was ascribed to CM Kejriwal while The Indian Eye termed him ""antinatioanl"" .",news ,02-02-2018
Fake news peddled by the Indian Eye on NaMo app,"On january 21 , the account posted images of mahagathbandhan rally in Kolkata, claiming that everyoun present at the rally took an oath to sav the country but nobody said , ""Bharat mata ki jai"". BJP president Amit Shah also made a similar claim while addressing a raaly in Malda , West Bengal.",news ,31-10-2018
Rahul Gandhi said that non-violence was inspired by Islam ,"A cartoon posted by the Indian Eye attribute a statement to Rahul Gandhi which said ""Muslims got the philosophy of non-violence from Muslims/Islam "".",news ,30-11-2018
Accidental Prime Minister banned in Madhya Pradesh by congress,"Another post by the India Eye said , ""Congress bans the release of the Accidential prime minister in madhya pradesh"". ",news ,19-09-2018
Fake quote ascribed to congress spokesperson Priyanka Chaturvedi ,"""Three lakh people came to listen to Rahul Gandhi at the Dubai Stadium"" , read a quote attributed to congress spokesperson Priyanka Chaturvedi.  ",news ,25-11-2018
The Atlantic,"The BJP is not the only political player whose supporters are manipulating facts. In November 2016, Abhishek Mishra was detained in the central state of Madhya Pradesh for posting derogatory content on social media about Madhya Pradesh’s former chief minister. Mishra, who is reportedly close to Congress leaders, published fabricated stories, including claims that the governor of India’s central bank had called Modi the most corrupt prime minister in India’s modern history, and that the head of a policing body had declared Modi to be “useless.",news ,30-11-2018
"Did Pak MPs Chant 'Modi Modi' In Parliament? No, They're Chanting 'Voting'","News channels India TV and Times Now, right-wing website OpIndia, and several prominent social media handles shared a video of parliamentary proceedings in Pakistan from Monday, to falsely claim that members of parliament were chanting 'Modi, Modi' slogans. BOOM found that Opposition MPs were chanting 'Voting, Voting', to call for voting on an anti-government resolution, which has been misleadingly presented as chants of 'Modi, Modi' in the Pakistan parliament by the Indian mainstream and social media. BOOM spoke to Muhammad Omer Hayat, news editor at Dawn, who refuted the claims of 'Modi, Modi' being chanted in the Pakistan parliament. ""Opposition members were chanting 'voting, voting' to call for a voting on an anti-government resolution presented by Khwaja Asif. Modi's name came up when pro-government members chanted 'Modi ka jo yaar hai, Gaddar hai gaddar hai' (Modi's friends are traitors), to taunt the opposition. Having covered the proceedings I can confirm that 'Modi, Modi' slogans, or any other pro-Modi slogans, were not raised,"" he said. ""It is unrealistic to expect pro-Modi slogans being raised by anyone in the Pakistan parliament. It is against their own politics,"" Hayat added.",news ,30-11-2018
UNESCO declares PM Modi best Prime Minister,"UNESCO has been one of the primary alleged sources of fake news in India. In June 2016, fake news broke out on WhatsApp groups, and other social media, that the UN cultural agency had awarded Prime Minister Narendra Modi the title of best prime minister in the world.",news ,30-11-2018
 UNESCO declares Jana Gana Mana best national anthem,"Another favourite Indian rumour involving UNESCO is the claim that India’s national anthem--Jana Gana Mana--has been declared the “Best National Anthem In The World”. The fake news started in 2008 through email and then caught the UN agency’s attention. ""We are aware of several blogs in India reporting this story, but can assure you that UNESCO has made no such announcement concerning the anthem of India or any country,"" a UNESCO official told India Today in 2008.",news ,26-11-2018
"UNESCO declares new Rs 2,000 note best currency in the world","Another fake UNESCO certificate for India touched upon the notebandi crisis, as messages claimed the organisation had certified the new Rs 2,000 note as the “best currency in the world”. The message, shared widely on WhatsApp, claimed “Dr. Saurabh Mukherjee, head of cultural awareness department of UNESCO announced this to media.”
The rumours caught the eye of the BBC, which reported that “thousands” of Indian WhatsApp users had “forwarded the message along with joyful emojis”.",news ,28-11-2018
"""Nehru Govt has stood like a Banyan Tree"": Mark Tully","Fake news claiming former BBC India bureau chief Mark Tully called for support to Prime Minister Narendra Modi’s government, while describing India’s first prime minister Jawaharlal Nehru's government as standing “like a banyan tree, overshadowing the people and the institutions of India”, went viral on social media earlier this month. “Nothing grows under the banyan tree,” the message added.

The fake Facebook post reads: “For a year or so we may witness more of Dadris, more of Kaniyahas, more of Owaisi style shouting but finally if the *Society keeps its cool, acts maturely* and continues to perform we will sail through and the old forces will die a natural death.” The post claimed Tully made these statements while discussing “changes happening in MODI'S regime” in his new book, No Full Stops in India.

Tully rebutted the claims of the post in this Hindustan Times column, though the post still appears to be in circulation. Not everyone believed the statements were authentic but some did ask for confirmation, he wrote: “But some did think they were authentic, a few even congratulated me. The fact that people could believe such obvious fakes were genuine indicates the power of fake news...If the reports had been more credible, less absurd, my credibility would have been severely damaged.”",news ,30-11-2018
Is PM Modi Bowing To IAS Officer Arti Dogra In This Viral Post? ,"BJP spokesperson Shaina NC was among many social media users who shared an image of Prime Minister Narendra Modi bowing to a differently abled woman, identifying her as ‘Aarati Dongra… IAS officer who was the chief architect behind renovation of Kashi Vishwanath temple’. But the person the Prime Minister is seen bowing down to is not IAS officer Arti Dogra, who is the special secretary to the CMO of Rajasthan, but one Shikha Rastogi.",news ,28-11-2018
The current PM is the first PM in India's history to hold no public press conferences. ,"Before that let me tell you a bit about the Indian mainstream media. Not all but a vast majority of our journalists are not subject matter experts and are generally ill-prepared, have a high ego, have a political leaning, have agendas, are known to indulge in corrupt activities and are generally low on the understanding of serious issues. Why would a Prime Minister talk to such people? The PM has given interviews time and again to many channels. Please search for the same and you will find it.",news ,30-11-2018
"Rahul Gandhi attacks Modi govt quoting 'fake news', BJP hits back","Congress leader Rahul Gandhi landed himself in a controversy after he quoted a purported fake news article to train guns at the Modi government. In a tweet shared on Wednesday afternoon, Rahul accused the government of weakening the country and said ""India has never been so vulnerable"".
""Government of India's (GOI's) use of foreign and defence policy as a domestic political tool has weakened our country. India has never been this vulnerable,"" he tweeted.
Rahul cited a report published in Business Standard that claimed that the Chinese military has again crossed the Line of Actual Control (LAC) in eastern Ladakh at several places and that there has been at least one incident of clash between the two sides.
However, the Indian Army said that there has been no attempt by the Indian or the Chinese side to occupy the areas in eastern Ladakh from where they disengaged in February and both sides are engaged in talks to resolve the remaining issues in the region.",news ,30-11-2018
